"Rank","Song","Artist","Year","Lyrics","Source"
"45","no","meghan trainor","2016","i think its so cute and i think its so sweet how you let your friends encourage you to try and talk to me but let me stop you there oh before you speak nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no first you gonna say you aint runnin game thinkin im believing every word call me beautiful so original telling me im not like other girls i was in my zone before you came along now im thinking maybe you should go blah blah blah blah i be like nah to the i to the i to the no no no all my ladies listen up if that boy aint giving up lick your lips and swing your hips girl all you gotta say is my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no thank you in advance i dont wanna dance nope i dont need your hands all over me if i want a man then imma get a man but its never my priority i was in my zone before you came along dont want you to take this personal blah blah blah i be like nah to the ah to the no no no all my ladies listen up if that boy aint giving up lick your lips and swing your hips girl all you gotta say is my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable nah to the ah to the no no no im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable nah to the ah to the no no no all my ladies listen up if that boy aint giving up lick your lips and swing your hips girl all you gotta say is my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable nah to the ah to the no no no","1"
"46","never forget you","zara larsson and mnek","2016","i used to be so happy but without here i feel so low i watched you as you left but i can never seem to let you go cause once upon a time you were my everything its clear to see that time hasnt changed a thing its very deep inside me but i feel theres something you should know ill never forget you youll always be by my side from the day that i met you i knew that i would love you till the day i die and i will never want much more and in my heart i will always be sure i will never forget you and youll always be by my side till the day i die till the day i die funny how we both end happy but everything seems alright ooh i wonder what will happen if we went back and put up a fight cause once upon a time you were my everything its clear to see that time hasnt changed a thing so just what do you think could ever take you off my mind ill never forget you and youll always be by my side from the day that i met you i knew that i would love you till the day i die and i will never want much more and in my heart i will always be sure i will never forget you and youll always be by my side till the day i die doing it loving it everything that we do and all along i knew i had something special with you but sometimes you just gotta know that these things fall through but im still tired and i cant hide my connection with you feeling it loving it everything that we do and all along i knew i had something special with you but sometimes you just gotta know that these things fall through i cant hide my connection with you ill never forget you and youll always be by my side from the day that i met you i knew that i would love you till the day i die and i will never want much more and in my heart i will always be sure that i will never forget you and youll always be by my side till the day i die till the day i die till the day i die till the day i die till the day i die till the day i die till the day i die ill never forget you i will never never never never never never ill never forget you till the day i die","1"
"47","let me love you","dj snake featuring justin bieber","2016","i used to believe we were burning on the edge of something beautiful something beautiful selling a dream smoke and mirrors keep us waiting on a miracle on a miracle say go through the darkest of days heavens a heartbreak away never let you go never let me down oh its been a hell of a ride driving the edge of a knife never let you go never let me down dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you oh baby baby dont fall asleep at the wheel weve got a million miles ahead of us miles ahead of us all that we need is a rude awakening to know were good enough know were good enough say go through the darkest of days heavens a heartbreak away never let you go never let me down oh its been a hell of a ride driving the edge of a knife never let you go never let me down dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you oh baby baby never let you go never let you down girl never let you go never let you down girl never let you go whoa girl never let you go wooh never let you go never let you down girl never let you go oh nahnahnahnah never let you go yeah yeah girl never let you go dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you","1"
"48","dont mind","kent jones","2016"," hola hola makeep telling me this and telling me that you said once you take me with you ill never go back now i got a lesson that i want to teach ima show you that where you from dont matter to me she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all african american for sho i told that baby come and ride the rodeo every time i come around man i go for broke she gives me desktop til i overload now baby you gon go where you post to go cause i aint got time for you every dayshe said she got a man keep it on the low i said he dont speak english the fuck he gon say aye telling me this and telling me that you said once you take me with you ill never go back now i got a lesson that i want to teach ima show you that where you from dont matter to me she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love them all she from africa but she fucks me like she haitian ass black but the eyes looking asian i give her the can in kansas i got it on tape she on candid camera okc i forgot we met in oklahoma i use to smoke regina she from arizona then i met a girl in cali i never disowned her she got that high grade her weed come with diplomas i want her but she keep telling me this and telling me that you said once you take me with you ill never go back now i got a lesson that i want to teach ima show you that where you from dont matter to me she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love them all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love them all","2"
"49","holy","florida georgia line","2016"," when the sun had left and the winter came and the sky fall could only bring the rain i sat in darkness all broken hearted i couldnt find a day i didnt feel alone i never meant to cry started losing hope but somehow baby you broke through and saved me youre an angel tell me youre never leaving cause youre the first thing i know i can believe in youre holy holy holy holy im high on loving you high on loving you youre holy holy holy holy im high on loving you high on loving you you made the brightest days from the darkest nights youre the river bank where i was baptized cleanse all the demons that were killing my freedom let me lay you down give me to ya get you singing babe hallelujah well be touching well be touching heaven youre an angel tell me youre never leaving cause youre the first thing i know i can believe inyoure holy holy holy holy im high on loving you high on loving you youre holy holy holy holy im high on loving you high on loving you i dont need the stars cause you shine for me like fire in my veins youre my ecstasy youre my ecstasy youre holy holy holy holy im high on loving you high on loving you youre holy holy holy holy im high on loving you high on loving you youre the healing hands where it used to hurt youre my saving grace youre my kind of church youre holy","2"
"50","we dont talk anymore","charlie puth featuring selena gomez","2016"," we dont talk anymore we dont talk anymore we dont talk anymore like we used to do we dont love anymore what was all of it for oh we dont talk anymore like we used to do i just heard you found the one youve been looking youve been looking for i wish i would have known that wasnt me cause even after all this time i still wonder why i cant move on just the way you did so easily dont wanna know kind of dress youre wearing tonight if hes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh its such a shame that we dont talk anymore we dont talk anymore we dont talk anymore like we used to do we dont love anymore what was all of it for oh we dont talk anymore like we used to do i just hope youre lying next to somebody who knows how to love you like me there must be a good reason that youre gone every now and then i think you might want me to come show up at your door but im just too afraid that ill be wrong dont wanna know if youre looking into her eyes if shes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh its such a shamethat we dont talk anymore we dont talk anymore we dont talk anymore like we used to do we dont love anymore what was all of it for oh we dont talk anymore like we used to do like we used to do dont wanna know kind of dress youre wearing tonight if hes giving it to you just right the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh its such a shame that we dont talk anymore we dont talk anymore we dont talk anymore like we used to do we dont love anymore what was all of it for oh we dont talk anymore like we used to do we dont talk anymore dont wanna know kind of dress youre wearing tonight oh if hes holding onto you so tight oh the way i did before we dont talk anymore i overdosed shouldve known your love was a game oh now i cant get you out of my brain whoa oh its such a shame that we dont talk anymore","2"
"51","into you","ariana grande","2016","im so into you i can barely breathe and all i wanna do is to fall in deep but close aint close enough til we cross the line baby so name a game to play and ill role the dice hey oh baby look what you started the temperatures rising in here is this gonna happen been waiting and waiting for you to make a move woo oh oh oh before i make a move woo oh oh oh so baby come light me up and maybe ill let you on it a little bit dangerous but baby thats how i want it a little less conversation and a little more touch my body cause im so into you into you into you got everyone watchin us so baby lets keep it secret a little bit scandalous but baby dont let them see it a little less conversation and a little more touch my body cause im so into you into you into you oh yeah this could take some time hey i made too many mistakes better get this right right baby oh baby look what you started the temperatures rising in here is this gonna happen been waiting and waiting for you to make a move woo oh oh oh before i make a move woo oh oh oh so baby come light me up and maybe ill let you on it a little bit dangerous but baby thats how i want it a little less conversation and a little more touch my body cause im so into you into you into you got everyone watchin us so baby lets keep it secret a little bit scandalous but baby dont let them see it a little less conversation and a little more touch my body cause im so into you into you into you tell me what you came here for cause i cant i cant wait no more im on the edge with no control and i need i need you to know you to know oh so baby come light me up and maybe ill let you on it a little bit dangerous but baby thats how i want it a little less conversation and a little more touch my body cause im so into you into you into you got everyone watchin us so baby lets keep it secret a little bit scandalous but baby dont let them see it a little less conversation and a little more touch my body cause im so into you into you into you so come light me up so come light me up my baby a little dangerous a little dangerous my baby a little less conversation and a little more touch my body cause im so into you into you into you","1"
"52","gold","kiiara","2016","oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin gold up in my gold up in my teeth gold up gold up in my teeth dont care what you say to me ima bite your feelings out gold up in my teeth i missed you in the basement gold up in my teeth but your brother was a good substitute for you and if you love me love me but you never let me go and when the roof is on fire you never let me know say youre sorry honey but you never really show it and i could leave a party without ever letting you know without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow without ever letting you know gold up in my gold up in my teeth gold up gold up in my teeth tastes like money when i speak gold up gold up in my teeth and i missed you in the basement gold up in my teeth bodies on the pavement gold up in my teeth and if you love me love me but you never let me go and when the roof is on fire you never let me know say youre sorry honey but you never really show it gold up in my teeth and i could leave a party without ever letting you know without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow without ever letting you know gold up in my gold up in my teeth gold up gold up in my teeth tastes like money when i speak gold up gold up in my teeth and i missed you in the basement gold up in my teeth bodies on the pavement oh and if you love me love me but you never let me go and when the roof is on fire you never let me know say youre sorry honey but you never really show it gold up in my teeth and i could leave a party without ever letting you know without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow oofisoyloimeyluvin without ever letting you know oofisoyloimeyluvinoywutchasnow without ever letting you know","1"
"53","exchange","bryson tiller","2016","this what happen when i think about you i get in my feelings yeah i start reminiscing yeah next time around fuck i want it to be different yeah waiting on a sign guess its time for a different prayer lord please save her for me do this one favor for me i had to change my play of ways got way to complicated for me i hope shes waiting for me everywhere she go they playin my song thats why i say the things that i say that way i know you cant ignore me but so so so gimme all of you in exchange for me just give me all of you in exchange for me for me break it down yeah yes sir check we use to lay up and then stay up have sex and then blow dank i shouldnt have played no games with you just leveled up my rank last time i saw you we aint speak that was strange guess its nothing i can do man its true exs change yeah guess you changed for the better better i know you know how to make me jealous i was never loyal let you tell it yo but im ready to fix it if you ready baby but so so1 so gimme all of you in exchange for me just give me all of you in exchange for me for me for real shawty yeah i know yeah is you at 2 keys or tin roof turn up with young tiller we just getting loose maybe im low key feelin you dont be cynical ima fuck you over wanna fuck you over then again the truth is i aint really here to start problems girl i swear to god them hoes cant never say they got him know how bad you wanna tell em dont try him i dont wanna tell him lets surprise him i dont wanna get into it why you stressin him ive been drivin back and fourth from louisville to lexington mileage on the whip got your ass on my grip college make you wanna strip for them dollars nah girl i got a job for you swear to god i can do a lot for you saw you strollin through the campus i had to stop for you i was scrollin through the gram girl i had to follow you say wassup witchu you got my soul","1"
"54","679","fetty wap featuring remy boyz","2016"," feat monty intro fetty wap yeaaah baby 17 ay ay look verse 1 fetty wap baby girl youre so damn fine though im tryna know if i could hit it from behind though im sipping on you like some fine wine though and when its over i press rewind though ay you talking bands girl i got it benjamins all in my pocket i traded in my trues for some robins he playing batman fettys gon rob him ay i got a glock in my rari ay 17 shots no 38 i got a glock in my rari 17 shots no 38 hook fetty wap im like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby verse 2 montana bucks tell me what you see is it money or its me i smoke twenty smell the weed i got hunnies in my v they like monty can you be my baby daddy im like yeah i got robins on my jeans you see the wings on every pair all you see is remy boyz you know my niggas everywhere and if somebody got a problem we could meet up anywhere now go say something dont you niggas play dumb you know where we came from you dont want sauce no a1 hook fetty wap im like yeah shes fine wonder when shell be mine she walk past i press rewind to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby verse 3 pdice she a cutie and she fine make me wanna make her mine she aint nothing like them bimbos if you like it we can swerve we can light and stain up here blowing pluck it out the window we get playing press rewind got her singing every time take a high note for me girlfriend got my city looking rude i aint diddy i aint loon but i think i need a girlfriend she feeling great as im talking to her she a remygirl so im gon pursue her i brought a lot of loud lot of remy to sip on thousand dollars when i get my tip on im off her asked her if her fatty real she said thats all her got her with the happy feel im bouta spoil her got her with the happy feel im bouta spoil her oh my hook fetty wap im like yeah shes fine wonder when shell be mine she walk past i press rewind just to see that ass one more time and i got this sewed up remy boyz they know us all fast money no slow bucks no one can control us ay yeaaah baby outro fetty wap zoowap monty zoowap dicey yeaah baby remy boyz yeaah yeaaah","1"
"55","oui","jeremih","2016","ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh ahh i think about all the time think you may need all of mine hate to say you know that love is blind im bout to see ill close my eyes truth is they cant see you in here though most of them need dollar signs to make every day your birthday and every night your valentine if we tried that we could be somewhere the climate is warm long as you around me i swear that everything will be just fine i wish that we could take some time go anywhere baby i dont mind grown man in my suit and tie hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i see my baby know where my baby go i go its no better feeling you know when im next to her for sure oh how can they hate gotta get this off my chest oh girl i think i love you i swear your shit look best friends they know they hate they dont get the best ah yea i think i love you oh baby maybe if we tried that we could be somewhere the climate is warm long as you around me i swear that everything will be just fine i wish that we could take some time go anywhere baby i dont mind grown man in my suit and tie hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oohh da du du du du oohh da du du du du oohh da du du du du oohh da du du du du if we tried that we could be somewhere the climate is warm long as you around me i swear that everything will be just fine i wish that we could take some time go anywhere baby i dont mind grown man in my suit and tie hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i oh yea ah yea ah ah yea hey theres no we without you and i","1"
"56","hands to myself","selena gomez","2016","cant keep my hands to myself no matter how hard im trying to i want you all to myself your metaphorical gin and juice so come on give me a taste of what its like to be next to you wont let one drop go to waste your metaphorical gin and juice oh cause all of the downs and the uppers keep making love to each other and im trying trying im trying trying all of the downs and the uppers keep making love to each other and im trying trying im trying but i cant keep my hands to myself my hands to myself cant keep my hands to myself my hands to myself the doctors say youre no good but people say what they wanna say and you should know if i could id breathe you in every single day oh cause all of the downs and the uppers keep making love to each other and im trying trying im trying trying all of the downs and the uppers keep making love to each other and im trying trying im trying but i cant keep my hands to myself my hands to myself cant keep my hands to myself my hands to myself cant keep my hands to myself i want it all no nothing else cant keep my hands to myself give me your all and nothing else oh i i want it all i want it all i want it all ooh cant keep my hands to myself i mean i could but why would i want to my hands to myself cant keep my hands to myself my hands to myself cant keep keep my hands to myself i want it all no nothing else cant keep my hands to myself give me your all and nothing else cant keep my hands to myself","1"
"57","2 phones","kevin gates","2016","hello what the deal bet i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin button start the foreign oh my god im gorgeous i just put the key inside my pocket park it might not get to see this a new ferrari man in the mirror how you choose to bother someone said they callin i dont feel like talkin everything is different returned the way i bought it phone be interrupting me while im recordin phone be making women feel they unimportant call my dog he say its all the way retarded keep the cause i am not using the foreman kitchen i just finished up new performance hater wish you well i got cliental i just got it off the scale i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin there they go again one of my lil friends they dont give a damn how a nigga been all they wanna know is what i got to give how much did i spend what i got to lend what i did and what i didnt do for them brick comin in somewhere on the rim section doin numbers nowhere by a gym rappin bottles spin im supplin 10 jumpin out a honda i just got it in askin what i cop none of your concern one day you gone learn what you tryna get everything on sale goin out of biz partners up in jail gotta feed the kids juggin round the city you know what it is bread winner business put that on the wrist i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin ring ring ringin man find me balling hard come from grinding hard getting calling cards from your barbie doll when she round me she know im her bodyguard money callin for me baby girl im sorry you just side yelling you not that important weight shape her pin you to the carpet smell like tarter imma put you in the water conversation cause a lot of chips she dont really get a lot of this engagin where im gazin at her hips and aint nobody makin no attempts amazing clip hanging slanging dick maybe we can make it takin trips maybe i was thinkin too impatient phone ringing hold up what it is i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin i got two phones one for the plug and one for the load i got two phones one for the bitches and one for the dough think i need two more line bumpin im ring ring ringin countin money while they ring ring ringin trap jumpin im ring ring ringin","1"
"58","starboy","the weeknd featuring daft punk","2016","im tryna put you in the worst mood ah p1 cleaner than your church shoes ah milli point two just to hurt you ah all red lamb just to tease you ah none of these toys on lease too ah made your whole year in a week too yah main bitch out your league too ah side bitch out of your league too ah house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory into skinny pieces then she clean it with her face man i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy every day a nigga try to test me ah every day a nigga try to end me ah pull off in that roadster sv ah pockets overweight getting hefty ah coming for the king thats a far cry i i come alive in the fall time i the competition i dont ever listen im in the blue moon song bumping new edition house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory to skinny pieces then she clean it with her face but i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy let a nigga brad pitt legend of the fall took the year like a bandit by my ma a crib and a brand new wagon now she hit the grocery shop looking lavish star trek groove in that wraith of khan girls get loose when they hear this song 100 on the dash get me close to god we dont pray for love we just pray for cars house so empty need a centerpiece twenty racks a table carved from ebony cut that ivory to skinny pieces then she clean it with her face but i love my baby you talking money need a hearing aid you talking bout me i dont see a shade switch out my side ill take any lane i switch out my car if i kill any pain look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy look what youve done im a motherfucking starboy","1"
"59","for free","dj khaled featuring drake","2016","feat drake intro dj khaled would you fuck me for free another one we the best music major key dj khaled verse 1 drake i go on and on cant understand how i lasted so long i must have the superpowers last 223 thousand hours its cause im off of cc and im off the hennessy and like your boy from compton said you know this dick aint free i got girls that i shoulda made pay for it got girls that i should made wait for it got girls thatll cancel a flight back home stay another day for it you got attitude on na na and your pussy on agua and your stomach on flat flat and your ass on whats that and yeah i need it all right now last year i had drama girl not right now i was never gon chat what we talkin about you the only one i know could fit it all in her man hook drake i always wonder if you ask yourself is it just me is it just me or is this sex so good i shouldnt have to fuck for free is it just me is it just me or is this sex so good i shouldnt have to verse 2 drake fuck for free i know you workin day and night to get a college degree bet nobody that youve been with even know you a freak right you know you only do that with me right yeah double checkin on you you know i never put the pressure on you you know that you make your own mind up you knew what it was when you signed up now you gotta run it up i be out of words tryna sum it up girl you throw it back like one love even let me slash on the tour bus yeah i talk to her but she dont do enough even though you in the hood im still pullin up dip dip straight to your doorstep this the real thing can you feel the force yet hook drake i always wonder if you ask yourself is it just me is it just me or is this sex so good i shouldnt have to fuck for free is it just me yeah is it just me is this sex so good i shouldnt have to would you fuck me for free dj khaled another one they dont want me to have another anthem so i made sure i got another anthem its we the best ovo summers ours it always has been dont ever play yourself one time for future the prince one time for 40 one time for drake another one bless up","1"
"60","never be like you","flume featuring kai","2016","feat kai verse 1 what i would do to take away this fear of being loved allegiance to the pain now im fucked up and im missing ya never be like you i would give anything to change this fickleminded heart that loves fake shiny things now im fucked up and im missing ya hell never be like you hook im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you verse 2 how do i make you wanna stay hate sleeping on my own missing the way you taste now im fucked up and im missing ya hell never be like you stop looking at me with those eyes like i could disappear and you wouldnt care why now im fucked up and im missing ya hell never be like you hook im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you bridge im falling on my knees forgive me im a fucking fool im begging darling please absolve me of my sins wont you im falling on my knees forgive me im a fucking fool im begging darling please absolve me of my sins wont you hook im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it hell never be like you outro baby baby please believe me cmon take it easy please dont ever leave me hell never be like you","1"
"61","in the night","the weeknd","2016","all alone she was living in a world without an end or beginning babygirl was living life for the feeling but i dont mind i dont mind and all the wrongs she committed she was numb and she was so codependent she was young and all she had was the city but i dont mind i dont mind and i know that shes capable of anything its riveting but when you wake up shes always gone gone gone in the night she hears him calling in the night shes dancing to relieve the pain shell never walk away i dont think you understand in the night when she comes crawling dollar bills and tears keep falling down her face shell never walk away i dont think you understand he sang a song when he did it he was cold and he was so unforgiving now she dances to the song on the minute yeah all the time all the time it make her weak when she hear it and it got her on her knees like religion she was young and she was forced to be a woman yeah all the time all the time and i know that shes capable of anything its riveting but when you wake up shes always gone gone gone in the night she hears him calling in the night shes dancing to relieve the pain shell never walk away i dont think you understand in the night when she comes crawling dollar bills and tears keep falling down her face shell never walk away i dont think you understand i dont think you understand in the night she hears him calling in the night shes dancing to relieve the pain shell never walk away i dont think you understand in the night when she comes crawling dollar bills and tears keep falling down her face shell never walk away i dont think you understand","1"
"62","me too","meghan trainor","2016","ow whos that sexy thang i see over there thats me standin in the mirror whats that icy thang hangin round my neck thats gold show me some respect oh ah i thank god every day uh huh that i woke up feelin this way uh huh and i cant help lovin myself and i dont need nobody else nuh uh if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too i walk in like a dime piece i go straight to vip i never pay for my drinks my entourage behind me my lifes a movie tom cruise so bless me baby achoo and even if they tried to they cant do it like i do i thank god every day uh huh that i woke up feelin this way uh huh and i cant help lovin myself and i dont need nobody else nuh uh if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too ow turn the bass up turn the bass up ow turn the bass up lets go i thank god every day uh huh that i woke up feelin this way uh huh and i cant help lovin myself and i dont need nobody else no uh if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too if i was you id wanna be me too id wanna be me too id wanna be me too","1"
"63","exs ohs","elle king","2016","well i had me a boy turned him into a man i showed him all the things that he didnt understand whoa and then i let him go now theres one in california whos been cursing my name cause i found me a better lover in the uk hey hey until i made my getaway one two three they gonna run back to me cause im the best baby that they never gotta keep one two three they gonna run back to me they always wanna come but they never wanna leave exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and ohs i had a summer lover down in new orleans kept him warm in the winter left him frozen in the spring my my how the seasons go by i get high and i love to get low so the hearts keep breaking and the heads just roll you know thats how the story goes one two three they gonna run back to me cause im the best baby that they never gotta keep one two three they gonna run back to me they always wanna come but they never wanna leave exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go my exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and ohs one two three they gonna run back to me climbing over mountains and asailing over seas one two three they gonna run back to me they always wanna come but they never wanna leave my exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and the oh oh ohs they haunt me like ghooosts they want me to make em all they wont let go exs and ohs","1"
"64","die a happy man","thomas rhett","2016","baby last night was hands down one of the best nights that ive had no doubt between the bottle of wine and the look in your eyes and the marvin gaye then we danced in the dark under september stars in the pourin rain and i know that i cant ever tell you enough that all i need in this life is your crazy love if i never get to see the northern lights or if i never get to see the eiffel tower at night oh if all i got is your hand in my hand baby i could die a happy man happy man baby hmmmm baby and that red dress brings me to my knees oh but that black dress makes it hard to breathe youre a saint youre a goddess the cutest the hottest the masterpiece its too good to be true nothing better than you in my wildest dreams and i know that i cant ever tell you enough that all need in this life is your crazy love if i never get to see the northern lights or if i never get to see the eiffel tower at night oh if all i got is your hand in my hand baby i could die a happy man yeah i dont need no vacation no fancy destination baby youre my great escape we could stay at home listen to the radio or dance around the fireplace and if i never get to build my mansion in georgia or drive a sports car up the coast of california well if all i got is your hand in my hand baby i could die a happy man baby i could die a happy man oh i could die a happy man you know i could girl i could die i could die a happy man hmmmm","1"
"65","white iverson","post malone","2016","produced by fki intro double ot im a new three hook saucin saucin im saucin on you im swaggin im swaggin im swaggin oh ooh im ballin im ballin iverson on you watch out watch out watch out yeah thats my shot thats my shot thats my shot yeah spendin im spendin all my fuckin pay verse 1 i got me some braids and i got me some hoes started rockin the sleeve i cant ball with no jordans you know how i do it concords on my toes this shit is hard i aint rich yet but you know i aint broke i so if i see it i like it buy that from the store i im with some white girls and they lovin the coca like theyre ot double ot like im kd smokin og and you know me in my 23s and my gold teeth bitch im smiling bet you see me from the nosebleeds im the new 3 and i change out to my new 3s prehook white iverson when i started ballin i was young you gon think about me when im gone i need that money like the ring i never won i won hook saucin saucin im saucin on you im swaggin im swaggin im swaggin oh ooh im ballin im ballin iverson on you watch out watch out watch out yeah thats my shot thats my shot thats my shot yeah spendin im spendin all my fuckin pay verse 2 cigarettes and a headband commas commas in my head man slumped over like a dead man red and black bout my bread man im the answer never question lace up learn a lesson bitch im saucin i do this often dont do no talkin my options right when i walk in jump all them jordans im ballin money jumpin like im davis from new orleans or bitch im harden i dont miss nothin fuck practice this shit just happens know yall cant stand it i have it ill never pass it i work my magic high average ball on these bastards it makes me happy its tragic i make it happen and all yall shaqtin prehook white iverson when i started ballin i was young you gon think about me when im gone i need that money like the ring i never won i won hook saucin saucin im saucin on you im swaggin im swaggin im swaggin oh ooh im ballin im ballin iverson on you watch out watch out watch out yeah thats my shot thats my shot thats my shot yeah spendin im spendin all my fuckin pay","1"
