Rank,Song,Artist,Year,Lyrics,Source,Total Words,Unique Words
29,too good,drake featuring rihanna,2016,feat rihanna produced by nineteen85 intro drake oh yeah yeah yeah oh yeah yeah yeah yeah verse 1 drake looki dont know how to talk to you i dont know how to ask you if youre okay my friends always feel the need to tell me things seems like theyre just happier than us these days yeah these days i dont know how to talk to you i dont know how to be there when you need me it feels like the only time you see me is when you turn your head to the side and look at me differently prechorus drake yeah and last night i think i lost my patience last night i got high as the expectations last night i came to a realization and i hope you can take it i hope you can take it chorus drake im too good to you im way too good to you you take my love for granted i just dont understand it no im too good to you im way too good to you you take my love for granted i just dont understand it verse 2 rihanna i dont know how to talk to you i just know i found myself getting lost with you lately you just make me work too hard for you got me on flights overseas and i still cant get across to you prechorus rihanna and last night i think i lost my patience last night i got high as the expectations last night i came to a realization and i hope you can take it i hope you can take it chorus drake rihanna im too good to you im way too good to you you take my love for granted i just dont understand it no im too good to you im way too good to you you take my love for granted i just dont understand it verse 3 drake years go by too fast i cant keep track how long did we last i feel bad for asking it cant end like this we gotta take time with this cock up yuh bumper sit down pon it let me see if this is something i can fix you got somebody other than me dont play the victim when youre with me free time is costing me more than it seems sacrificing things and i wanna tell you my intentions i wanna do the things that i mention i wanna benefit from the friendship i wanna get the late night message from you from you i put my hands around you gotta get a handle on you gotta get a handle on the fact that chorus drake rihanna im too good to you im way too good to you you take my love for granted i just dont understand it no im too good to you im way too good to you you take my love for granted i just dont understand it outro popcaan gyal a you mi waan pay fi yuh visa meck yo fly out regular baby cock up yuh bumper sit down pon it gyal yo pum pum good and yuh fit mi wi give you everything weh deh in my wallet and in my pocket cock up yuh bumper sit down pon it gyal yo pum pum good and yuh fit mi wi give you everything weh deh in my wallet and in my pocket,1,572,171
30,low life,future featuring the weeknd,2016,feat the weeknd produced by the weeknd metro boomin ben billions refrain everybody getting high getting high getting high getting high intro future i just took some molly what else hey got some bitch from follies with us scuse me scuse me she gonna fuck the squad what else imma fuck her broads what else bitch from pakistan what up ferraris and them lambs what else bout to fuck this club up what else get get get verse 1 the weeknd i turn the ritz into a poor house its like eviction number four now go head and ash it on the floor now girl go ahead and show me how you go down and i feel my whole body peaking and im fucking anybody with they legs wide getting faded with some bitches from the west side east coast nigga repping north side never waste a hoes time freebands bitch im on my own time fuck a nigga cosign always change my number and my phone line baby girl i dont lie used to have no money for a crib now my room service bill cost your whole life if they try to stunt me i go all out military im camoed all out like im in the military i free up all my niggas locked up in the penitentiary hook the weeknd future cause im always repping for that low life repping for that low life turn up low life low life low life know im repping for that low low life representing im representing representing said im repping for that low life low life low life low life low life im representing for that low life said im repping for that low life im repping thats repping im repping low life low life low life rep rep rep rep rep rep rep woo woo woo woo yeah verse 2 future wake up take a sip of ace of spade like its water i been on the molly and them xans with your daughter if she catch me cheating i will never tell her sorry if she catch me cheating i will never tell her sorry porsches in the valet i got bentleys i got raris taking pain pills on the plane getting chartered popping tags on tags i was starving bitch i got the juice and the carbon turn a five star hotel to a traphouse roaches everywhere like we forgot to take the trash out flood my cross with ice getting money my religion got my baby momma and my side bitch kissing i turn the ritz into a lean house this the sixth time getting kicked out i cant feel my face im on adderall nauseous niggas tryna ride my fuckin wave now they salty running with the wave get you killed quick shoot you in your back like you ricky lil mexico from no life to afterlife my whole life my whole life hook the weeknd future cause im always repping for that low life repping for that low life low life low life low life know im repping for that low low life representing im representing representing said im repping for that low life low life low life low life low life im representing that low life said im repping for that low life low life im repping for that lowlife low life low life low life rep rep rep rep rep rep rep woo yeah bridge future yeah they stereotyping cause they know a nigga keep ten rifles and they know a nigga keep ten snipers keep a baby bottle like we wearing diapers yeah they stereotyping cause they know a nigga keep twenty rifles and they know a nigga keep twenty snipers and they know a nigga keep ten wifeys sniper sniper sniper sniper sniper wifey wifey wifey wifey wifey thats your wifey wifey wifey wifey wifey i think i like her like her like her like her thats your wifey wifey wifey wifey wifey i think i like her like her like her like her oh thats your wifey wifey wifey wifey wifey i think i like her like her like her like her refrain getting high getting high getting high everybody getting high getting high getting high getting high everybody getting high getting high getting high getting high everybody getting high getting high getting high getting high and im the reason why getting high getting high getting high everybody getting high getting high getting high getting high everybody getting high getting high getting high getting high everybody getting high getting high getting high getting high and im the reason why outro future i just took some molly what else got some bitch from follies with us she gonna fuck the squad what else imma fuck her broads what else bitch from pakistan what up ferraris and them lambs what else bout to fuck this club what else bout to fuck this club what else,1,825,230
31,what do you mean,justin bieber,2016,what do you mean oh oh when you nod your head yes but you wanna say no what do you mean heyey when you dont want me to move but you tell me to go what do you mean oh what do you mean said youre running out of time what do you mean oh oh oh what do you mean better make up your mind what do you mean youre so indecisive what im saying tryna catch the beat make up your heart dont know if youre happy or complaining dont want for us to end where do i start first you wanna go to the left then you wanna turn right wanna argue all day make love all night first youre up then youre down and then between oh i really want to know what do you mean oh oh when you nod your head yes but you wanna say no what do you mean heyey when you dont want me to move but you tell me to go what do you mean oh what do you mean said youre running out of time what do you mean oh oh oh what do you mean better make up your mind what do you mean youre overprotective when im leaving trying to compromise but i cant win you want to make a point but you keep preaching you had me from the start wont let this end first you wanna go to the left then you wanna turn right wanna argue all day make love all night first youre up then youre down and then between oh i really want to know what do you mean oh oh when you nod your head yes but you wanna say no what do you mean heyey when you dont want me to move but you tell me to go what do you mean i wanna know oh what do you mean said youre running out of time what do you mean oh baby oh oh oh what do you mean better make up your mind what do you mean oh oh this is ours baby yeah when you nod your head yes but you wanna say no what do you mean heyey youre so confusing baby when you dont want me to move but you tell me to go what do you mean be more straight forward oh what do you mean said youre running out of time what do you mean oh oh oh what do you mean better make up your mind what do you mean,1,427,90
32,the hills,the weeknd,2016,young man on the road he doin promo you said keep our business on the lowlow im just tryna get you out the friendzone cause you look even better than the photos i cant find your house send me the info driving through the gated residential found out i was coming sent your friends home keep on tryna hide it but your friends know i only call you when its half past five the only time that id be by your side i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me yeah i only call you when its halfpast five the only time id ever call you mine i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me babe ima let you know and keep it simple tryna keep it up dont seem so simple i just fucked two bitches fore i saw you you gon have to do it at my tempo always tryna send me off to rehab these drugs got me feeling like its decaf im just tryna live life for the moment and all these motherfuckers want a relapse i only call you when its half past five the only time that id be by your side i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me yeah i only call you when its halfpast five the only time id ever call you mine i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me babe hills have eyes the hills have eyes who are you to judge who are you to judge hide your lies hide your lies only you to trust only you i only call you when its half past five the only time that id be by your side i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me yeah i only call you when its halfpast five the only time id ever call you mine i only love it when you touch me not feel me when im fucked up thats the real me when im fucked up thats the real me babe,1,427,117
33,just like fire,pink,2016, produced by oscar wilde shellback max martin verse 1 i know that im running out of time i want it all mmm mmm and im wishing theyd stop tryna turn me off i want it all mmm mmm and im walking on a wire trying to go higher feels like im surrounded by clowns and liars even when i give it all away i want it all mmm mmm prechorus we can get em running running running we can get em running running running chorusjust like fire burning out the way if i can light the world up for just one day watch this madness colorful charade no one can be just like me any way just like magic ill be flying free imma disappear when they come for me i kick that ceiling what you gonna say no one can be just like me any way just like fire uh verse 2 and people like to laugh at you cause they are all the same mmm mmm see i would rather we just go our different way than play the game and no matter the weather we can do it better you and me together forever and ever we dont have to worry about a thing not a thing prechorus we can get em running running running we can get em running running running chorus just like fire burning out the way if i can light the world up for just one day watch this madness colorful charade no one can be just like me any way just like magic ill be flying free imma disappear when they come for me i kick that ceiling what you gonna say no one can be just like me any way just like fire fire fire running running running we can get em running running running verse 3 so i can get it running just cause nobodys done it yall dont think i can run it but look ive been here ive done it impossible please watch i do it with ease you just gotta believe come on come on with me oh what you gonna do what what oh what you gonna do what what oh what you gonna do what what oh what you gonna do bridge acoustic just like fire burning out the way if i can light the world up for just one day watch this madness colorful charade no one can be just like me any way chorus just like fire burning out the way if i can light the world up for just one day watch this madness colorful charade no one can be just like me any way just like magic ill be flying free imma disappear when they come for me i kick that ceiling what you gonna say no one can be just like me any way just like fire fire outro running running running just like fire running running running,1,489,139
34,broccoli,dram featuring lil yachty,2016,aint no telling what im finna be on im beyond all that fuck shit hey little mama would you like to be my sunshine nigga touch my gang we gon turn this shit to columbine ice on my neck cost me 10 times 3 30 000 dollars for a nigga to get flee i just hit rodeo and i spent like 10 gs i just did a show and spent the check on my mama when i go on vacay i might rent out the bahamas and i keep like 10 phones damn im really never home all these niggas clones tryna copy what im on nigga get your own tryna pick a nigga bone way to brother skip boy i had a good day metro pcs trapping boy im making plays 50 shades of grey beat that pussy like hulk hogan i know you know my slogan if i aint bout guap im gone niggas hating cause im chosen from the concrete that i rose shawty staring at my necklace cause my diamonds really froze put that dick up in her pussy bet she feel it in her toes im a real young nigga from the 6 throwing bows im a real young nigga from the 6 throwing bows real young nigga from the 6 throwing bows in the middle of the party bitch get off me in the cut im rolling up my broccoli ya i know your baby mama fond of me all she want to do is smoke that broccoli whispered in my ear she trying to leave with me said that i can get that pussy easily said that i can hit that shit so greasily im a dirty dog i did it sleazily aint no telling what im finna be on im beyond all that fuck shit aint no telling what im finna be on im beyond all that fuck shit i got companies and pesos i got people on my payroll she dont do it less i say so i dont smoke if it aint fuego i just sauce em up like prego fettucini with alfredo all i wanted was the fame and every game they made on sega i was 5 or 6 years old when i had told myself ok youre special but i treat you like my equal never lesser i was 26 years old when we had dropped this one amazing record had the world stepping thats what i call epic couple summers later i got paper i acquired taste for salmon on a bagel with the capers on a square plate at the restaurant with the why you got to stare face to know i either ball or i record over the snare and bass rapper face dread headed golden diamond teeth wearing they just mad cause i got that cheese bitch i keep dairy turned up in the party getting lit to yachty with a spanish barbie word to my mommy in the middle of the party bitch get off me in the cut im rolling up my broccoli ya i know your baby mama fond of me all she want to do is smoke that broccoli whispered in my ear she trying to leave with me said that i can get that pussy easily said that i can hit that shit so greasily im a dirty dog i did it sleazily,1,565,240
35,dont,bryson tiller,2016, dont dont play with her dont be dishonest aye still not understanding this logic aye im back and im better i want you bad as ever dont let me just let up i want to give you better baby its whatever somebody gotta step up girl im that somebody so im next up be damned if i let him catch up its easy to see that youre fed up i am on a whole nother level girl he only fucked you over cause you let him fuck em girl i guess he didnt know any better girl that man didnt show any effort do all i can just to show you youre special certain its your love that holds me together lately you say he been killing the vibe gotta be sick of this guy pull up skurt get in the ride left hand is steering the other is gripping your thigh light up a spliff and get high shawty you deserve what you been missing looking at you im thinking he must be tripping play this song for him tell him just listen dont girl said he keeps on playing games and his loving aint the same i dont know what to say ay but what a shame if you were mine you would not get the same if you were mine you would top everything suicide in the drop switching lanes and that thang so fire baby no propane got good pussy girl can i be framed to keep it 100 girl i aint no saint but he the only reason that im feeling this way giving you the world baby when you get space pen game get me laid baby thats penetrate oh baby dont htown got a nigga so throwed po up we can party some mo yeah got this drink in my cup got a young nigga feeling so throwed spit fire and the world so cold young money got a nigga feeling old spit fire and the world so cold htown got me feeling so throwed htown got me feeling so throwed htown got me feeling so throwed spit fire and the world so cold htown got me feeling so throwed dont,2,369,175
36,dangerous woman,ariana grande,2016,dont need permission made my decision to test my limits cause its my business god as my witness start what i finished dont need no hold up taking control of this kind of moment im locked and loaded completely focused my mind is open all that you got skin to skin oh my god dont ya stop boy somethin bout you makes me feel like a dangerous woman somethin bout somethin bout somethin bout you makes me wanna do things that i shouldnt somethin bout somethin bout somethin bout nothing to prove and im bulletproof and know what im doing the way were movin like introducing us to a new thing i wanna savor save it for later the taste of flavor cause im a taker cause im a giver its only nature i live for danger all that you got skin to skin oh my god dont ya stop boy somethin bout you makes me feel like a dangerous woman somethin bout somethin bout somethin bout you makes me wanna do things that i shouldnt somethin bout somethin bout somethin bout you all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout somethin bout you makes me feel like a dangerous woman somethin bout somethin bout somethin bout you makes me wanna do things that i shouldnt somethin bout somethin bout somethin bout you all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout all girls wanna be like that bad girls underneath like that you know how im feeling inside somethin bout somethin bout yeah theres somethin bout you boy yeah theres somethin bout you boy yeah theres somethin bout you boy yeah theres somethin bout you boy somethin bout somethin bout somethin bout you yeah theres somethin bout you boy yeah theres somethin bout you boy yeah theres somethin bout you boy yeah theres somethin bout you boy somethin bout somethin bout somethin bout you,1,361,94
37,jumpman,drake and future,2016,if young metro dont trust you im gon shoot you yeah yeah halloween taliban taliban im gon shoot you yeah jumpman jumpman jumpman them boys up to something they just spent like two or three weeks out the country them boys up to something they just not just bluffing you dont have to call i hit my dance like usher woo i just found my tempo like im dj mustard woo i hit that ginobili with my left hand up like woo lobster and c�line for all my babies that i miss chicken fingers french fries for them hoes that wanna diss jumpman jumpman jumpman them boys up to something uh uh uh i think i need some robitussin way too many questions you must think i trust you you searching for answers i do not know nothing woo i see em tweaking they know somethings coming woo jumpman jumpman jumpman them boys up to something woo jumpman jumpman jumpman fuck was you expecting woo chitown chitown michael jordan just had text me woo jumpman jumpman jumpman jumpman jumpman jumpman i just seen the jet take off they up to something them boys just not bluffing them boys just not bluffing jumpman jumpman jumpman them boys up to something she was tryna join the team i told her wait chicken wings and fries we dont go on dates nobu nobu nobu nobu nobu nobu i just throwed a private dinner in la trapping is a hobby thats the way for me money coming fast we never getting sleep i i just had to buy another safe bentley spur and phantom jordan fadeaway yeah jumpman jumpman i dont need no introduction jumpman jumpman metro boomin on production wow hundred cousins out in memphis they so country wow tell her stay the night valet your car come fuck me now jumpman jumpman live on tnt im flexing ooh jumpman jumpman they gave me my own collection ooh jump when i say jump girl can you take direction ooh mutombo with the bitches you keep getting rejected woo heard they came through magic city on a monday heard they had the club wild it was star studded a bunch of girls going wild when your chain flooded and i had em like wow cup dirty dopeman dopeman dopeman dopeman dopeman dopeman money on the counter choppers on the floor i just copped that tempo dj mustard woo way too much codeine and adderall we just count up paper racks whoa i know imma get my bitch back whoa i count all these racks that i have on me now imma have you like whoa chanel n9 chanel n5 well you got em both jumpman jumpman jumpman them boys up to something they just spent like two or three weeks out the country them boys up to something they just not just bluffing jumpman jumpman jumpman them boys up to something,1,487,206
38,i hate u i love u,gnash featuring olivia obrien,2016,feat olivia obrien produced by gnash verse 1 olivia obrien feeling used but im still missing you and i cant see the end of this just wanna feel your kiss against my lips and now all this time is passing by but i still cant seem to tell you why it hurts me every time i see you realize how much i need you hook olivia obrien i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her verse 2 gnash i miss you when i cant sleep or right after coffee or right when i cant eat i miss you in my front seat still got sand in my sweaters from nights we dont remember do you miss me like i miss you fucked around and got attached to you friends can break your heart too and im always tired but never of you if i pulled a you on you you wouldnt like that shit i put this reel out but you wouldnt bite that shit i type a text but then i nevermind that shit i got these feelings but you never mind that shit oh oh keep it on the low youre still in love with me but your friends dont know if u wanted me you would just say so and if i were you i would never let me go i dont mean no harm i just miss you on my arm wedding bells were just alarms caution tape around my heart you ever wonder what we could have been you said you wouldnt and you fucking did lie to me lie with me get your fucking fix now all my drinks and all my feelings are all fucking mixed always missing people that i shouldnt be missing sometimes you gotta burn some bridges just to create some distance i know that i control my thoughts and i should stop reminiscing but i learned from my dad that its good to have feelings when love and trust are gone i guess this is moving on everyone i do right does me wrong so every lonely night i sing this song hook olivia obrien and gnash i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her bridge olivia o brien and gnash all alone i watch you watch her like shes the only girl youve ever seen you dont care you never did you dont give a damn about me yeah all alone i watch you watch her shes the only thing youve ever seen how is it you never notice that you are slowly killing me hook olivia obrien i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her,1,552,195
39,here,alessia cara,2016,i guess for now youve got the last laugh im sorry if i seem uninterested or im not listening or im indifferent truly i aint got no business here but since my friends are here i just came to kick it but really i would rather be at home all by myself not in this room with people who dont even care about my well being i dont dance dont ask i dont need a boyfriend so you can go back please enjoy your party ill be here somewhere in the corner under clouds of marijuana with this boy whos hollerin and i can hardly hear over this music i dont listen to and i dont wanna get with you so tell my friends that ill be over here oh oh oh here oh oh oh here oh oh oh i asked myself what am i doin here oh oh oh here oh oh oh here and i cant wait til we can break up out of here excuse me if i seem a little unimpressed with this an antisocial pessimist but usually i dont mess with this and i know you mean only the best and your intentions arent to bother me but honestly id rather be somewhere with my people we can kick it and just listen to some music with a message like we usually do and well discuss our big dreams how we plan to take over the planet so pardon my manners i hope youll understand that ill be here not there in the kitchen with the girl whos always gossipin about her friends oh tell them ill be here right next to the boy whos throwin up cause he cant take whats in his cup no more oh god why am i here oh oh oh here oh oh oh here oh oh oh i asked myself what am i doin here oh oh oh here oh oh oh here and i cant wait til we can break up out of here hours later congregatin next to the refrigerator some girls talkin bout a hater she aint got none how did it ever come to this i shouldve never come to this so holla at me ill be in the car when youre done im standoffish dont want what youre offerin and im done talkin awfully sad it had to be that way so tell my people when theyre ready that im ready and im standin by the tv with my beanie low yo ill be over here oh oh oh here oh oh oh here oh oh oh i asked myself what am i doin here oh oh oh here oh oh oh here and i cant wait til we can break up out of here oh oh oh oh,1,467,187
40,same old love,selena gomez,2016,take away your things and go you cant take back what you said i know ive heard it all before at least a million times im not one to forget you know i dont believe i dont believe it you left in peace left me in pieces too hard to breathe im on my knees right now ow im so sick of that same old love that shit it tears me up im so sick of that same old love my bodys had enough oh that same old love oh that same old love im so sick of that same old love feels like ive blown apart im so sick of that same old love the kind that breaks your heart oh that same old love oh that same old love im not spending any time wasting tonight on you i know ive heard it all so dont you try and change your mind cause i wont be changing too you know you cant believe still cant believe it you left in peace left me in pieces too hard to breathe im on my knees right now ow im so sick of that same old love that shit it tears me up im so sick of that same old love my bodys had enough oh that same old love oh that same old love im so sick of that same old love feels like ive blown apart im so sick of that same old love the kind that breaks your heart oh that same old love oh that same old love im so sick of that so sick of that love im so sick of that so sick of that love im so sick of that so sick of that love im so sick of that so sick of that love im so sick of that same old love that shit it tears me up im so sick of that same old love my bodys had enough oh that same old love oh that same old love im so sick of that same old love feels like ive blown apart im so sick of that same old love the kind that breaks your heart oh that same old love oh that same old love,1,374,79
41,controlla,drake,2016,feat beenie man produced by boi1da verse 1 drake right my yiy just changed you just buzzed the front gate i thank god you came how many more days could i wait i made plans with you and i wont let em fall through i i i i i hook drake i think id lie for you i think id die for you jodeci cry for you do things when you want me to like controlla controlla yeah like controlla controlla verse 2 drake yeah okay you like it when i get aggressive tell you to go slower go faster like controlla controlla yeah like controlla controlla bridge drake and im never on a waste ting shorty i do it how you say you want it them girls they just wanna take my money they dont want me to give you nothing they dont want you to have nothing they dont wanna see me find your lovin they dont wanna see me smiling back when they pree hook drake knowing id lie for you thinking id die for you jodeci cry for you do things when you want me to like controlla controlla yeah like controlla controlla verse 3 beenie man gyal a tear off mi garments and a bawl fi come inna mi apartment woi di gyal dem want di length and strength action speak louder than argument well verse 4 drake but you cant just diss and come tell man sorry you cant listen to me talk and go tell my story nah it dont work like that when you love somebody my old flex is my new flex now and were workin on it and thats why i need all the energy that you bring to me my last girl would tear me apart but shed never wanna split a ting with me but when it comes to you you hook drake i think id lie for you i think id die for you do things when you want me too like controlla controlla yeah like controlla controlla bridge drake and im never on a waste ting shorty i do it how you say you want it them girls they just wanna take my money they dont want me to give you nothing they dont want you to have nothing they dont wanna see me find your lovin they dont wanna see me smiling back when they pree jheeze outro beenie man music a drop gyal a whine up dem bumpa dis is di summa summa controlla drake from canada beenie man from jamaica dah one yah a murda zagga,1,433,165
42,like im gonna lose you,meghan trainor featuring john legend,2016,i found myself dreaming in silver and gold like a scene from a movie that every broken heart knows we were walking on moonlight and you pulled me close split second and you disappeared and then i was all alone i woke up in tears with you by my side a breath of relief and i realized no were not promised tomorrow so im gonna love you like im gonna lose you im gonna hold you like im saying goodbye wherever were standing i wont take you for granted cause well never know when when well run out of time so im gonna love you like im gonna lose you im gonna love you like im gonna lose you in the blink of an eye just a whisper of smoke you could lose everything the truth is you never know so ill kiss you longer baby any chance that i get ill make the most of the minutes and love with no regrets lets take our time to say what we want use what we got before its all gone cause no were not promised tomorrow so im gonna love you like im gonna lose you im gonna hold you like im saying goodbye wherever were standing i wont take you for granted cause well never know when when well run out of time so im gonna love you like im gonna lose you im gonna love you like im gonna lose you hey whoa im gonna love you like im gonna lose you im gonna hold you like im saying goodbye wherever were standing i wont take you for granted cause well never know when when well run out of time so im gonna love you like im gonna lose you im gonna love you like im gonna lose you,1,301,106
43,one call away,charlie puth,2016,im only one call away ill be there to save the day superman got nothing on me im only one call away call me baby if you need a friend i just wanna give you love cmon cmon cmon reaching out to you so take a chance no matter where you go know youre not alone im only one call away ill be there to save the day superman got nothing on me im only one call away come along with me and dont be scared i just wanna set you free cmon cmon cmon you and me can make it up be wild for now we can stay here for a while cause you know i just wanna see your smile no matter where you go know youre not alone im only one call away ill be there to save the day superman got nothing on me im only one call away when youre weak ill be strong im gonna keep holding on now dont you worry it wont be long darling if you feel like hope is gone just run into my arms im only one call away ill be there to save the day superman got nothing on me im only one im only one call away im only one call away ill be there to save the day superman got nothing on me im only one call away im only one call away,1,237,84
44,let it go,james bay,2016,from walking home and talking loads to seeing shows in evening clothes with you from nervous touch and getting drunk to staying up and waking up with you now were slipping near the edge holding something we dont need all this delusion in our heads is gonna bring us to our knees so come on let it go just let it be why dont you be you and ill be me everything thats broke leave it to the breeze why dont you be you and ill be me and ill be me from throwing clothes across the floor to teeth and claws and slamming doors at you if this is all were living for why are we doing it doing it doing it anymore i used to recognize myself its funny how reflections change when were becoming something else i think its time to walk away so come on let it go just let it be why dont you be you and ill be me everything thats broke leave it to the breeze why dont you be you and ill be me and ill be me tryna fit your hand inside of mine when we know it just dont belong theres no force on earth could make me feel right no whoa tryna push this problem up the hill when its just too heavy to hold think now is the time to let it slide so come on let it go just let it be why dont you be you and ill be me everything thats broke leave it to the breeze let the ashes fall forget about me come on let it go just let it be why dont you be you and ill be me and ill be me,1,291,117
45,no,meghan trainor,2016,i think its so cute and i think its so sweet how you let your friends encourage you to try and talk to me but let me stop you there oh before you speak nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no first you gonna say you aint runnin game thinkin im believing every word call me beautiful so original telling me im not like other girls i was in my zone before you came along now im thinking maybe you should go blah blah blah blah i be like nah to the i to the i to the no no no all my ladies listen up if that boy aint giving up lick your lips and swing your hips girl all you gotta say is my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no thank you in advance i dont wanna dance nope i dont need your hands all over me if i want a man then imma get a man but its never my priority i was in my zone before you came along dont want you to take this personal blah blah blah i be like nah to the ah to the no no no all my ladies listen up if that boy aint giving up lick your lips and swing your hips girl all you gotta say is my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable nah to the ah to the no no no im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable nah to the ah to the no no no all my ladies listen up if that boy aint giving up lick your lips and swing your hips girl all you gotta say is my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no my name is no my sign is no my number is no you need to let it go you need to let it go need to let it go nah to the ah to the no no no im feeling untouchable untouchable im feeling untouchable untouchable im feeling untouchable untouchable nah to the ah to the no no no,1,613,100
46,never forget you,zara larsson and mnek,2016,i used to be so happy but without here i feel so low i watched you as you left but i can never seem to let you go cause once upon a time you were my everything its clear to see that time hasnt changed a thing its very deep inside me but i feel theres something you should know ill never forget you youll always be by my side from the day that i met you i knew that i would love you till the day i die and i will never want much more and in my heart i will always be sure i will never forget you and youll always be by my side till the day i die till the day i die funny how we both end happy but everything seems alright ooh i wonder what will happen if we went back and put up a fight cause once upon a time you were my everything its clear to see that time hasnt changed a thing so just what do you think could ever take you off my mind ill never forget you and youll always be by my side from the day that i met you i knew that i would love you till the day i die and i will never want much more and in my heart i will always be sure i will never forget you and youll always be by my side till the day i die doing it loving it everything that we do and all along i knew i had something special with you but sometimes you just gotta know that these things fall through but im still tired and i cant hide my connection with you feeling it loving it everything that we do and all along i knew i had something special with you but sometimes you just gotta know that these things fall through i cant hide my connection with you ill never forget you and youll always be by my side from the day that i met you i knew that i would love you till the day i die and i will never want much more and in my heart i will always be sure that i will never forget you and youll always be by my side till the day i die till the day i die till the day i die till the day i die till the day i die till the day i die till the day i die ill never forget you i will never never never never never never ill never forget you till the day i die,1,441,112
47,let me love you,dj snake featuring justin bieber,2016,i used to believe we were burning on the edge of something beautiful something beautiful selling a dream smoke and mirrors keep us waiting on a miracle on a miracle say go through the darkest of days heavens a heartbreak away never let you go never let me down oh its been a hell of a ride driving the edge of a knife never let you go never let me down dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you oh baby baby dont fall asleep at the wheel weve got a million miles ahead of us miles ahead of us all that we need is a rude awakening to know were good enough know were good enough say go through the darkest of days heavens a heartbreak away never let you go never let me down oh its been a hell of a ride driving the edge of a knife never let you go never let me down dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you oh baby baby never let you go never let you down girl never let you go never let you down girl never let you go whoa girl never let you go wooh never let you go never let you down girl never let you go oh nahnahnahnah never let you go yeah yeah girl never let you go dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you dont you give up nahnahnah i wont give up nahnahnah let me love you let me love you,1,316,73
48,dont mind,kent jones,2016, hola hola makeep telling me this and telling me that you said once you take me with you ill never go back now i got a lesson that i want to teach ima show you that where you from dont matter to me she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all african american for sho i told that baby come and ride the rodeo every time i come around man i go for broke she gives me desktop til i overload now baby you gon go where you post to go cause i aint got time for you every dayshe said she got a man keep it on the low i said he dont speak english the fuck he gon say aye telling me this and telling me that you said once you take me with you ill never go back now i got a lesson that i want to teach ima show you that where you from dont matter to me she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love them all she from africa but she fucks me like she haitian ass black but the eyes looking asian i give her the can in kansas i got it on tape she on candid camera okc i forgot we met in oklahoma i use to smoke regina she from arizona then i met a girl in cali i never disowned her she got that high grade her weed come with diplomas i want her but she keep telling me this and telling me that you said once you take me with you ill never go back now i got a lesson that i want to teach ima show you that where you from dont matter to me she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love them all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola como estas she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love them all,2,574,119
